capturing 60s on Command|8:Command|8 MIDI 1 24:0 ...
note_on n=5 v=64                 -> FaderTouchEvent(fader=0, touched=True)
cc c=41 v=89                     -> FaderMoveEvent(fader=1, value=89, value10=717)
cc c=33 v=90                     -> FaderMoveEvent(fader=1, value=90, value10=724)
cc c=33 v=91                     -> FaderMoveEvent(fader=1, value=91, value10=732)
cc c=33 v=92                     -> FaderMoveEvent(fader=1, value=92, value10=740)
cc c=33 v=93                     -> FaderMoveEvent(fader=1, value=93, value10=748)
cc c=25 v=94                     -> FaderMoveEvent(fader=1, value=94, value10=755)
cc c=25 v=95                     -> FaderMoveEvent(fader=1, value=95, value10=763)
cc c=17 v=96                     -> FaderMoveEvent(fader=1, value=96, value10=770)
cc c=9 v=97                      -> FaderMoveEvent(fader=1, value=97, value10=777)
cc c=9 v=98                      -> FaderMoveEvent(fader=1, value=98, value10=785)
cc c=1 v=99                      -> FaderMoveEvent(fader=1, value=99, value10=792)
cc c=57 v=99                     -> FaderMoveEvent(fader=1, value=99, value10=799)
cc c=49 v=100                    -> FaderMoveEvent(fader=1, value=100, value10=806)
cc c=41 v=101                    -> FaderMoveEvent(fader=1, value=101, value10=813)
cc c=33 v=102                    -> FaderMoveEvent(fader=1, value=102, value10=820)
cc c=25 v=103                    -> FaderMoveEvent(fader=1, value=103, value10=827)
cc c=17 v=104                    -> FaderMoveEvent(fader=1, value=104, value10=834)
cc c=1 v=105                     -> FaderMoveEvent(fader=1, value=105, value10=840)
cc c=57 v=105                    -> FaderMoveEvent(fader=1, value=105, value10=847)
cc c=49 v=106                    -> FaderMoveEvent(fader=1, value=106, value10=854)
cc c=41 v=107                    -> FaderMoveEvent(fader=1, value=107, value10=861)
cc c=25 v=108                    -> FaderMoveEvent(fader=1, value=108, value10=867)
cc c=17 v=109                    -> FaderMoveEvent(fader=1, value=109, value10=874)
cc c=1 v=110                     -> FaderMoveEvent(fader=1, value=110, value10=880)
cc c=57 v=110                    -> FaderMoveEvent(fader=1, value=110, value10=887)
cc c=41 v=111                    -> FaderMoveEvent(fader=1, value=111, value10=893)
cc c=33 v=112                    -> FaderMoveEvent(fader=1, value=112, value10=900)
cc c=17 v=113                    -> FaderMoveEvent(fader=1, value=113, value10=906)
cc c=9 v=114                     -> FaderMoveEvent(fader=1, value=114, value10=913)
